Threat ID,Threat Scenario,Business Unit,Process,AI Service,Data Classification,Likelihood (1-5),Impact (1-5),Inherent Risk,Existing Controls,Control Evidence,Control Effectiveness (0-4),Residual Priority,Gap,Required Action,Owner,Target Date,Decision,Status,Review Notes
T01,Employees use unapproved AI services,,,,,,,,,,,,,,,,,,
T02,Sensitive information is entered into prompts,,,,,,,,,,,,,,,,,,
T03,Credentials tokens or secrets are exposed,,,,,,,,,,,,,,,,,,
T04,AI output contains false or fabricated information,,,,,,,,,,,,,,,,,,
T05,AI-generated content is treated as authoritative,,,,,,,,,,,,,,,,,,
T06,Prompt injection is delivered through documents email or websites,,,,,,,,,,,,,,,,,,
T07,AI-generated code formulas scripts or macros are unsafe,,,,,,,,,,,,,,,,,,
T08,AI plugins connectors or agents receive excessive permissions,,,,,,,,,,,,,,,,,,
T09,Supplier retains prompts or uses them for model improvement,,,,,,,,,,,,,,,,,,
T10,AI output infringes copyright or misuses intellectual property,,,,,,,,,,,,,,,,,,
T11,AI-generated messages enable phishing or impersonation,,,,,,,,,,,,,,,,,,
T12,Employees upload malicious or sensitive files to AI services,,,,,,,,,,,,,,,,,,
T13,AI produces biased discriminatory or inappropriate content,,,,,,,,,,,,,,,,,,
T14,AI-generated summaries omit critical context,,,,,,,,,,,,,,,,,,
T15,AI use creates inaccurate or incomplete business records,,,,,,,,,,,,,,,,,,
T16,Personal data is processed without a lawful basis or adequate notice,,,,,,,,,,,,,,,,,,
T17,AI features are enabled by default in productivity platforms,,,,,,,,,,,,,,,,,,
T18,Browser extensions or local AI applications capture content,,,,,,,,,,,,,,,,,,
T19,AI agents act without adequate transaction boundaries,,,,,,,,,,,,,,,,,,
T20,Logging is insufficient to reconstruct AI-assisted activity,,,,,,,,,,,,,,,,,,
